seller_id,company_name,category,country,state,monthly_revenue,orders,avg_order_value,return_rate,customer_rating,late_shipment_pct,cancellation_pct,ad_spend,conversion_rate,seller_age_months,growth_rate,repeat_customer_pct,account_manager,support_tickets,seller_tier
SLR-00041,Golden Collective #41,Apparel,US,TX,16674.99,195,85.51,0.1091,4.59,0.1217,0.054,2724.14,0.018,37,0.1002,0.3403,,2,preferred
SLR-00042,Prime Goods #42,Beauty,US,FL,9769.66,128,76.33,0.1032,4.61,0.0831,0.1084,2247.06,0.1207,62,0.0907,0.5557,,3,premium
SLR-00043,Coastal Goods #43,Beauty,US,TX,11930.27,162,73.64,0.1081,4.05,0.0119,0.0052,272.49,0.132,36,0.0469,0.5291,,1,preferred
SLR-00044,Bright Mercantile #44,Books,US,NY,5930.93,84,70.61,0.1985,3.74,0.0976,0.0117,12024.22,0.0746,67,0.1472,0.7074,,1,standard
SLR-00045,Apex Co #45,Automotive,CA,BC,7266.28,89,81.64,0.0893,4.76,0.0272,0.1137,101.55,0.0092,68,-0.0373,0.3761,,0,preferred
SLR-00046,Summit Mercantile #46,Toys,GB,ENG,1449.18,20,72.46,0.0688,3.59,0.028,0.0577,2438.72,0.016,67,-0.0626,0.3764,,1,standard
SLR-00047,Urban Market #47,Electronics,US,IL,84899.35,1078,78.76,0.0081,4.57,0.0647,0.021,135.84,0.0424,95,0.0874,0.4612,,1,standard
SLR-00048,Apex Group #48,Grocery,US,NY,17047.02,209,81.56,0.0238,4.7,0.1348,0.007,1010.55,0.0848,52,-0.0353,0.2607,,0,preferred
SLR-00049,Golden Mercantile #49,Automotive,US,WA,5616.53,82,68.49,0.0891,3.35,0.1223,0.0073,241.02,0.0348,62,0.0918,0.1941,,0,standard
SLR-00050,River Mercantile #50,Apparel,US,WA,2569.38,29,88.6,0.0793,4.27,0.1362,0.0244,3842.7,0.0127,22,0.0087,0.4782,,0,standard
SLR-00051,Urban Traders #51,Beauty,CA,BC,15802.33,208,75.97,0.1049,3.86,0.0998,0.0395,384.15,0.0395,47,0.0016,0.6035,,3,preferred
SLR-00052,Prime Supply #52,Grocery,US,FL,2658.68,45,59.08,0.094,3.93,0.0655,0.0339,147.59,0.037,37,-0.0637,0.1202,,4,premium
SLR-00053,Blue Collective #53,Beauty,US,CA,10686.23,132,80.96,0.075,4.74,0.0493,0.0627,480.44,0.0342,89,0.1145,0.1602,,2,premium
SLR-00054,Urban Market #54,Books,US,CA,4840.91,55,88.02,0.1241,3.72,0.0179,0.0688,692.13,0.026,67,0.0474,0.3783,,1,standard
SLR-00055,River Group #55,Automotive,CA,ON,6070.64,85,71.42,0.1126,4.25,0.0955,0.0559,925.86,0.0389,51,0.1994,0.2718,,0,premium
SLR-00056,Bright Collective #56,Sports & Outdoors,US,CA,26159.75,317,82.52,0.1617,3.59,0.0799,0.0146,93.64,0.0565,85,0.1013,0.427,,3,standard
SLR-00057,Apex Group #57,Apparel,US,CA,12783.1,154,83.01,0.0447,4.81,0.0465,0.0097,994.87,0.0125,30,-0.1029,0.5712,,2,preferred
SLR-00058,Cedar Group #58,Toys,CA,BC,5640.85,70,80.58,0.089,4.48,0.0408,0.1026,410.34,0.0241,20,-0.0123,0.4746,,1,premium
SLR-00059,Silver Outfitters #59,Toys,US,FL,3090.69,35,88.31,0.0508,4.86,0.0546,0.0549,1323.76,0.0272,31,0.0128,0.3617,,3,preferred
SLR-00060,Prime Goods #60,Beauty,US,TX,15858.78,171,92.74,0.0347,4.6,0.1171,0.0374,1069.11,0.0339,31,0.1091,0.4124,,2,premium
SLR-00061,Blue Outfitters #61,Grocery,DE,BY,60111.58,751,80.04,0.0703,4.45,0.0785,0.018,271.33,0.032,84,-0.0077,0.1798,,2,standard
SLR-00062,River Goods #62,Office Supplies,US,FL,7215.83,99,72.89,0.0444,4.35,0.0588,0.0629,1740.96,0.0121,85,-0.0391,0.241,,1,preferred
SLR-00063,Apex Group #63,Apparel,US,IL,7544.16,103,73.24,0.0725,4.62,0.021,0.1428,86.67,0.0328,35,-0.1475,0.4119,,2,premium
SLR-00064,Cedar Works #64,Office Supplies,US,FL,4918.17,55,89.42,0.1207,4.11,0.0591,0.0559,3151.85,0.0547,85,0.0201,0.3279,,1,preferred
SLR-00065,Silver Outfitters #65,Books,US,WA,18189.2,234,77.73,0.2715,3.78,0.0378,0.1059,721.29,0.0764,65,-0.0004,0.1441,,1,standard
SLR-00066,Metro Depot #66,Sports & Outdoors,US,FL,8609.84,108,79.72,0.0225,5.0,0.1171,0.1304,603.62,0.1186,22,0.1877,0.2719,,1,preferred
SLR-00067,Urban Co #67,Books,US,TX,7606.59,101,75.31,0.0622,3.77,0.0387,0.0897,711.47,0.0575,16,-0.0442,0.4773,,1,preferred
SLR-00068,Bright Supply #68,Toys,US,FL,8432.79,105,80.31,0.2698,4.48,0.1164,0.0115,130.81,0.0227,59,-0.0833,0.3695,,0,premium
SLR-00069,Metro Supply #69,Beauty,DE,BY,48684.35,571,85.26,0.0794,4.11,0.0489,0.0541,103.95,0.0267,65,-0.0013,0.1276,,2,standard
SLR-00070,Prime Market #70,Apparel,US,WA,8626.55,132,65.35,0.1879,4.74,0.0347,0.0666,545.3,0.0157,18,0.1744,0.1009,,1,standard
SLR-00071,River Group #71,Home & Kitchen,CA,BC,1062.04,11,96.55,0.1892,3.89,0.0465,0.0027,170.06,0.1409,58,0.1159,0.7033,,2,premium
SLR-00072,Prime Mercantile #72,Toys,US,WA,17149.87,225,76.22,0.0438,3.5,0.0198,0.0923,110.22,0.0179,93,0.0509,0.3267,,0,premium
SLR-00073,Coastal Works #73,Beauty,US,CA,17144.27,230,74.54,0.0627,4.69,0.0564,0.0245,310.63,0.0231,59,0.034,0.6226,,3,standard
SLR-00074,Union Mercantile #74,Office Supplies,DE,BY,3216.68,44,73.11,0.1392,4.53,0.1218,0.1255,1488.36,0.0417,50,0.0638,0.5064,,0,premium
SLR-00075,Summit Mercantile #75,Sports & Outdoors,DE,BY,5838.03,66,88.45,0.1326,3.86,0.0495,0.0356,233.05,0.0109,95,0.0802,0.2157,,1,premium
SLR-00076,Coastal Mercantile #76,Home & Kitchen,US,TX,6044.62,65,92.99,0.1233,3.56,0.1,0.005,97.66,0.0626,17,0.0444,0.2113,,1,preferred
SLR-00077,Summit Trading #77,Automotive,US,WA,3754.38,58,64.73,0.0575,4.36,0.0374,0.0308,378.72,0.0101,72,0.0765,0.3024,,1,standard
SLR-00078,Summit Goods #78,Toys,US,IL,9900.31,135,73.34,0.045,3.46,0.0977,0.1138,666.46,0.0812,7,-0.0404,0.4769,,3,standard
SLR-00079,Blue Works #79,Grocery,DE,BY,8371.05,121,69.18,0.0747,4.06,0.1232,0.0494,1155.24,0.0441,31,0.127,0.401,,1,premium
SLR-00080,Blue Works #80,Automotive,US,CA,5438.51,61,89.16,0.0067,3.23,0.1224,0.02,1519.99,0.0522,37,-0.1231,0.6851,,1,standard
SLR-00081,Apex Supply #81,Sports & Outdoors,DE,BY,24898.37,306,81.37,0.1105,4.83,0.1112,0.0176,1224.91,0.0554,18,-0.0047,0.4322,,1,preferred
SLR-00082,Prime Market #82,Beauty,GB,ENG,7759.81,75,103.46,0.0908,4.95,0.0394,0.0805,165.24,0.0288,63,0.0489,0.2956,,2,preferred
SLR-00083,Apex Goods #83,Beauty,US,IL,15354.89,169,90.86,0.0987,4.8,0.1399,0.0523,333.33,0.0149,62,0.0517,0.1445,,1,premium
SLR-00084,Metro Co #84,Beauty,US,IL,67496.01,804,83.95,0.1757,4.46,0.0737,0.118,2368.07,0.056,89,0.1431,0.4133,,3,standard
SLR-00085,Cedar Traders #85,Sports & Outdoors,CA,BC,19770.45,257,76.93,0.0217,4.57,0.0291,0.0751,212.91,0.0158,93,-0.0935,0.1731,,0,premium
SLR-00086,North Mercantile #86,Toys,CA,BC,79461.15,1011,78.6,0.0437,4.67,0.0561,0.0561,122.55,0.0935,47,0.0685,0.1862,,2,standard
SLR-00087,Cedar Outfitters #87,Sports & Outdoors,CA,ON,1342.36,16,83.9,0.0825,4.57,0.054,0.0219,425.45,0.0296,64,0.0024,0.3892,,1,standard
SLR-00088,Blue Collective #88,Books,US,CA,6157.62,97,63.48,0.0835,4.19,0.0186,0.0706,4529.87,0.0455,63,0.0241,0.4218,,6,premium
SLR-00089,Blue Market #89,Grocery,US,CA,1652.81,11,150.26,0.0454,4.79,0.0271,0.0134,17.87,0.0104,85,0.0083,0.3681,,0,standard
SLR-00090,Coastal Collective #90,Home & Kitchen,US,CA,2990.11,41,72.93,0.1587,3.71,0.049,0.0842,85.79,0.0644,25,-0.0126,0.2286,,0,premium
SLR-00091,Apex Trading #91,Electronics,US,WA,3526.14,51,69.14,0.064,4.57,0.0403,0.0033,319.25,0.0377,81,0.0905,0.2649,,0,standard
SLR-00092,Metro Collective #92,Beauty,US,IL,4871.27,62,78.57,0.0107,3.95,0.0638,0.0912,13888.74,0.0391,60,-0.0696,0.4585,,0,standard
SLR-00093,Silver Co #93,Home & Kitchen,US,NY,1780.07,29,61.38,0.0541,3.95,0.1012,0.0209,5130.85,0.0934,8,0.0178,0.6546,,3,preferred
SLR-00094,Prime Collective #94,Books,GB,ENG,1139.48,15,75.97,0.0429,4.31,0.0165,0.0367,824.67,0.0388,82,-0.0841,0.4038,,0,premium
SLR-00095,Coastal Traders #95,Books,GB,ENG,1964.01,23,85.39,0.0176,4.28,0.0469,0.0358,348.12,0.0354,13,-0.0644,0.11,,1,premium
SLR-00096,Cedar Supply #96,Sports & Outdoors,US,WA,7268.46,106,68.57,0.0756,3.6,0.0186,0.0376,19.38,0.072,10,0.0781,0.587,,1,premium
SLR-00097,Summit Supply #97,Office Supplies,GB,ENG,4145.0,41,101.1,0.0514,3.61,0.1146,0.0519,4627.22,0.0029,20,-0.0896,0.4258,,2,standard
SLR-00098,Coastal Supply #98,Office Supplies,GB,ENG,9665.2,123,78.58,0.0311,4.11,0.0259,0.0387,1342.09,0.0893,52,0.0343,0.4158,,0,preferred
SLR-00099,River Market #99,Automotive,US,NY,16033.4,220,72.88,0.1253,4.85,0.0817,0.0717,415.61,0.0226,88,-0.0285,0.2049,,3,standard
SLR-00100,Cedar Outfitters #100,Toys,US,FL,11762.07,147,80.01,0.0744,3.83,0.0692,0.0802,781.51,0.0691,22,-0.0929,0.1907,,2,premium
SLR-00101,Union Works #101,Beauty,US,CA,9225.93,111,83.12,0.1016,4.2,0.0489,0.1099,73.92,0.0327,78,0.1533,0.4391,,1,standard
SLR-00102,Silver Mercantile #102,Home & Kitchen,US,WA,7407.96,107,69.23,0.0201,5.0,0.1976,0.053,845.54,0.0451,68,0.0464,0.5989,,2,preferred
SLR-00103,Urban Market #103,Grocery,DE,BY,1804.18,23,78.44,0.0409,3.76,0.0507,0.0116,48.09,0.0448,28,-0.055,0.1082,,2,preferred
SLR-00104,Blue Mercantile #104,Home & Kitchen,US,WA,17960.72,235,76.43,0.0206,4.1,0.1682,0.141,841.75,0.0507,65,-0.0302,0.4292,,1,premium
SLR-00105,Union Trading #105,Apparel,DE,BY,30912.33,395,78.26,0.0535,4.54,0.0541,0.0595,2643.27,0.0182,24,-0.0143,0.6709,,3,premium
SLR-00106,Blue Depot #106,Electronics,US,WA,5089.13,75,67.86,0.0689,4.39,0.0716,0.0541,757.51,0.0352,14,-0.0283,0.6448,,0,preferred
SLR-00107,Cedar Traders #107,Beauty,US,IL,3318.28,47,70.6,0.0862,4.46,0.0232,0.0318,252.79,0.0444,25,0.0262,0.451,,2,premium
SLR-00108,Cedar Outfitters #108,Toys,US,CA,3221.64,40,80.54,0.0741,4.46,0.0234,0.0043,462.52,0.0276,13,0.0053,0.4911,,1,standard
SLR-00109,Urban Co #109,Apparel,GB,ENG,3806.71,36,105.74,0.04,3.12,0.1004,0.0638,1295.9,0.1418,43,0.0041,0.5595,,1,standard
SLR-00110,Blue Works #110,Electronics,DE,BY,5612.25,89,63.06,0.0799,4.07,0.0841,0.1121,353.67,0.0498,35,-0.024,0.3036,,1,premium
SLR-00111,Urban Co #111,Books,CA,BC,1850.2,21,88.1,0.1654,4.03,0.0961,0.0026,434.28,0.0808,12,-0.0112,0.5716,,1,standard
SLR-00112,Summit Outfitters #112,Office Supplies,US,NY,5706.16,60,95.1,0.1153,4.6,0.0421,0.0042,707.34,0.0363,8,-0.0618,0.3067,,2,preferred
SLR-00113,Union Depot #113,Sports & Outdoors,US,NY,2523.33,30,84.11,0.0336,3.78,0.0061,0.0221,467.72,0.0169,48,-0.0807,0.2983,,0,premium
SLR-00114,Cedar Outfitters #114,Apparel,US,NY,4554.06,44,103.5,0.125,4.36,0.0901,0.0204,32.38,0.036,18,0.0186,0.4676,,1,premium
SLR-00115,Silver Trading #115,Books,US,FL,11855.82,153,77.49,0.0774,4.16,0.0181,0.0064,190.64,0.0296,49,-0.1128,0.3707,,1,premium
SLR-00116,Prime Market #116,Office Supplies,CA,ON,2694.37,31,86.92,0.0849,4.31,0.0797,0.0676,863.14,0.0012,65,-0.0027,0.1356,,1,preferred
SLR-00117,Urban Supply #117,Toys,CA,BC,8524.07,106,80.42,0.1454,3.51,0.0616,0.0721,148.84,0.0317,27,0.2253,0.4065,,0,preferred
SLR-00118,Silver Market #118,Sports & Outdoors,US,WA,2500.92,31,80.67,0.1293,4.35,0.1394,0.0134,3272.33,0.0738,20,0.0715,0.3409,,4,preferred
SLR-00119,Golden Depot #119,Apparel,GB,ENG,1960.25,22,89.1,0.1448,3.9,0.1055,0.0491,121.02,0.0291,28,0.0791,0.7161,,2,standard
SLR-00120,Union Outfitters #120,Automotive,DE,BY,9942.76,131,75.9,0.0654,4.72,0.0247,0.0104,219.83,0.1374,92,0.0154,0.5245,,0,standard
SLR-00121,Blue Mercantile #121,Books,CA,ON,14137.43,185,76.42,0.1091,4.9,0.1251,0.0971,34.5,0.1006,53,0.0716,0.3285,,2,premium
SLR-00122,Prime Market #122,Sports & Outdoors,CA,ON,13886.27,176,78.9,0.0739,4.42,0.0942,0.0488,51.56,0.0292,94,0.0749,0.3888,,0,preferred
SLR-00123,Bright Depot #123,Sports & Outdoors,US,NY,2945.11,45,65.45,0.1483,4.93,0.0395,0.0627,838.53,0.026,66,0.0814,0.5687,,2,premium
SLR-00124,Union Market #124,Home & Kitchen,US,WA,50807.28,672,75.61,0.0649,5.0,0.028,0.0692,623.08,0.017,53,-0.0717,0.2156,,1,standard
SLR-00125,Union Group #125,Toys,US,WA,1337.5,17,78.68,0.0667,3.96,0.165,0.013,1213.1,0.0159,48,0.0247,0.2951,,2,premium
SLR-00126,Urban Collective #126,Beauty,US,TX,8290.33,98,84.6,0.0941,5.0,0.1622,0.0983,1225.9,0.0152,69,0.0185,0.215,,0,standard
SLR-00127,Apex Collective #127,Apparel,DE,BY,3938.37,45,87.52,0.0863,4.14,0.2351,0.0417,1371.79,0.0828,11,0.0334,0.2798,,2,preferred
SLR-00128,Silver Trading #128,Electronics,US,FL,1877.03,30,62.57,0.072,3.58,0.0711,0.0594,712.84,0.043,7,0.0184,0.2603,,2,standard
SLR-00129,Coastal Trading #129,Beauty,US,TX,11030.69,139,79.36,0.1131,5.0,0.0322,0.0357,821.32,0.0448,40,0.0282,0.4139,,1,premium
SLR-00130,River Collective #130,Apparel,GB,ENG,10694.28,127,84.21,0.1639,3.6,0.0318,0.0758,396.98,0.0132,44,0.2255,0.3118,,1,preferred
SLR-00131,Summit Supply #131,Electronics,US,IL,46163.0,566,81.56,0.0492,4.47,0.0764,0.0187,142.51,0.0643,9,-0.0965,0.4467,,0,standard
SLR-00132,Bright Group #132,Apparel,DE,BY,1836.61,32,57.39,0.0659,3.37,0.0528,0.0492,250.42,0.0399,55,-0.0244,0.7441,,1,premium
SLR-00133,Coastal Traders #133,Home & Kitchen,GB,ENG,5053.72,63,80.22,0.0621,4.3,0.1297,0.0371,70.84,0.0481,79,0.2121,0.2691,,3,standard
SLR-00134,Coastal Outfitters #134,Apparel,US,IL,12356.86,141,87.64,0.1309,4.12,0.0137,0.0032,1408.58,0.0583,91,-0.0042,0.7127,,1,preferred
SLR-00135,Union Co #135,Grocery,GB,ENG,24934.61,306,81.49,0.0084,3.34,0.126,0.0064,1157.97,0.0136,4,-0.0072,0.6439,,0,preferred
SLR-00136,Silver Goods #136,Automotive,US,NY,4499.74,52,86.53,0.0269,4.31,0.175,0.0426,225.96,0.007,79,-0.0644,0.4249,,1,premium
SLR-00137,Silver Collective #137,Apparel,GB,ENG,4839.97,42,115.24,0.0734,4.55,0.1079,0.0201,242.03,0.0121,89,-0.0133,0.5369,,1,standard
SLR-00138,Bright Depot #138,Apparel,US,IL,10108.08,107,94.47,0.0887,4.18,0.072,0.0147,615.85,0.027,83,-0.0961,0.3893,,0,preferred
SLR-00139,Prime Supply #139,Toys,US,FL,7524.43,88,85.5,0.0926,4.38,0.036,0.0534,119.05,0.0299,53,0.1103,0.331,,0,preferred
SLR-00140,Summit Co #140,Beauty,US,TX,16262.98,215,75.64,0.1211,4.95,0.0878,0.036,252.43,0.0471,32,0.0574,0.2343,,2,standard
SLR-00141,Metro Outfitters #141,Home & Kitchen,US,CA,1517.16,17,89.24,0.1611,4.22,0.0789,0.1253,4418.4,0.0186,4,0.0386,0.2813,,2,standard
SLR-00142,Metro Trading #142,Sports & Outdoors,CA,BC,3363.1,46,73.11,0.024,4.0,0.0567,0.1506,365.2,0.0136,87,0.0082,0.2291,,5,preferred
SLR-00143,Urban Depot #143,Sports & Outdoors,CA,BC,1206.13,14,86.15,0.027,4.82,0.0027,0.1325,882.96,0.0765,80,-0.1247,0.1581,,0,standard
SLR-00144,Golden Supply #144,Grocery,US,FL,19893.35,239,83.24,0.1405,4.09,0.0457,0.0183,427.05,0.1203,14,-0.1875,0.2251,,0,premium
SLR-00145,Metro Market #145,Apparel,DE,BY,15415.16,178,86.6,0.1875,3.29,0.0895,0.0205,52.25,0.0798,79,0.2018,0.6223,,0,standard
SLR-00146,Summit Mercantile #146,Office Supplies,US,NY,43500.27,535,81.31,0.0801,4.13,0.173,0.0043,954.91,0.0063,17,-0.0723,0.4605,,2,preferred
SLR-00147,River Mercantile #147,Apparel,CA,ON,15813.75,199,79.47,0.0679,4.28,0.1862,0.019,90.57,0.0814,11,-0.0224,0.3041,,0,preferred
SLR-00148,Apex Traders #148,Apparel,DE,BY,2058.88,21,98.04,0.1092,4.78,0.0406,0.0491,52782.11,0.0741,94,-0.1166,0.3807,,1,standard
SLR-00149,Summit Market #149,Books,US,NY,2061.14,36,57.25,0.1092,4.46,0.0113,0.0182,62.98,0.0231,12,0.0679,0.2781,,2,premium
SLR-00150,Union Group #150,Sports & Outdoors,US,TX,3625.88,44,82.41,0.0389,4.16,0.0348,0.0559,83.62,0.0292,27,-0.0956,0.1682,,0,preferred
SLR-00151,Urban Trading #151,Books,US,IL,6541.52,75,87.22,0.0229,4.01,0.0721,0.0207,118.45,0.0647,79,0.0054,0.317,,1,standard
SLR-00152,Metro Depot #152,Books,US,WA,5559.8,88,63.18,0.1322,4.5,0.0382,0.0644,2350.54,0.0485,12,0.0216,0.1908,,1,premium
SLR-00153,Metro Goods #153,Toys,US,TX,65415.71,805,81.26,0.1534,4.48,0.0955,0.0491,21.7,0.0287,85,-0.0482,0.4815,,4,preferred
SLR-00154,Cedar Depot #154,Home & Kitchen,US,WA,5021.32,58,86.57,0.0372,3.94,0.1048,0.0173,3437.62,0.0653,95,0.0814,0.5524,,2,preferred
SLR-00155,Golden Depot #155,Office Supplies,GB,ENG,25026.24,286,87.5,0.1633,5.0,0.0547,0.0694,155.46,0.038,79,0.0006,0.2193,,2,standard
SLR-00156,Blue Depot #156,Toys,US,TX,18844.04,238,79.18,0.0392,4.76,0.0949,0.0157,34.74,0.0534,61,0.0576,0.2848,,1,preferred
SLR-00157,Cedar Traders #157,Beauty,GB,ENG,3120.52,30,104.02,0.0673,4.31,0.0559,0.0995,337.72,0.0274,31,-0.1572,0.2516,,1,premium
SLR-00158,Cedar Outfitters #158,Office Supplies,US,WA,37758.31,444,85.04,0.0322,5.0,0.0466,0.0318,401.02,0.0259,89,-0.0281,0.5207,,1,preferred
SLR-00159,Golden Works #159,Toys,US,CA,3132.71,42,74.59,0.0461,3.94,0.08,0.0446,853.94,0.0588,15,0.0257,0.4719,,0,premium
SLR-00160,Metro Works #160,Home & Kitchen,US,TX,6687.29,73,91.61,0.036,4.31,0.0261,0.0416,539.56,0.0819,9,0.0764,0.4064,,2,standard
SLR-00161,Union Supply #161,Sports & Outdoors,US,NY,25562.16,275,92.95,0.2002,4.36,0.1796,0.0847,46.44,0.0631,44,-0.0398,0.2735,,3,standard
SLR-00162,Silver Co #162,Grocery,US,NY,6021.12,68,88.55,0.0509,3.82,0.0513,0.019,188.5,0.0547,70,-0.0472,0.3414,,0,premium
